player_code,web_name,team_s,pos,price,own,status,news,chance_of_playing_next_round,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,p_mins,p_starts,p_pts,p_ppg,p_xg90,p_xa90,p_xgi90,p_xgc90,p_bonus,p_bps90,p_yc90,p_saves90,p_price_end,p_team_code,p_apps,p_dc_hits,p_dc_rate,p_dc_actions90,p_dc_p90,has_history
223827,Ballard,SUN,DEF,5.0,4.7,a,,,,,,2144.0,24.0,116.0,4.869402985074626,0.10326492537313432,0.02644589552238806,0.12971082089552238,1.3936567164179106,9.0,14.272388059701493,0.16791044776119401,0.0,4.6,56.0,29.0,16.0,0.5517241379310345,11.585820895522389,1.343283582089552,True
200834,Mukiele,SUN,DEF,5.5,2.6,d,Knock - 75% chance of playing,75.0,,,,2784.0,32.0,151.0,4.881465517241379,0.052370689655172414,0.08566810344827586,0.13803879310344827,1.4453663793103448,11.0,15.808189655172413,0.16163793103448276,0.0,4.6,56.0,32.0,15.0,0.46875,9.73060344827586,0.9698275862068966,True
487676,Hume,SUN,DEF,4.5,6.1,a,,,,3.0,,3032.0,34.0,110.0,3.2651715039577835,0.06738126649076517,0.060850923482849595,0.12823218997361477,1.4031332453825858,6.0,11.368733509234827,0.2671503957783641,0.0,4.5,56.0,38.0,4.0,0.1052631578947368,6.827176781002638,0.2374670184696569,True
201895,Alderete,SUN,DEF,5.0,0.4,d,Knock - 75% chance of playing,75.0,,,,2797.0,32.0,125.0,4.022166607079013,0.05212727922774401,0.029281372899535217,0.08140865212727923,1.4325348587772613,5.0,12.870933142652841,0.19306399713979264,0.0,4.1,56.0,33.0,13.0,0.3939393939393939,10.811583839828389,0.8366106542724348,True
434399,Reinildo,SUN,DEF,4.5,0.5,a,,,,,,1966.0,23.0,74.0,3.387589013224822,0.005951169888097661,0.028382502543234996,0.03433367243133265,1.2231943031536112,6.0,12.863682604272634,0.32044760935910477,0.0,3.8,56.0,25.0,7.0,0.28,8.377416073245168,0.6408952187182095,True
519634,Seelt,SUN,DEF,4.5,0.0,a,,,,,,133.0,1.0,2.0,1.3533834586466165,0.0,0.006766917293233083,0.006766917293233083,0.9,0.0,7.443609022556391,0.0,0.0,4.0,56.0,2.0,1.0,0.5,12.180451127819548,1.3533834586466165,True
477547,Hjelde,SUN,DEF,4.0,0.2,u,Has joined KV Mechelen on loan for the rest of the season,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,56.0,,,,,,False
167512,O'Nien,SUN,DEF,4.0,3.2,a,,,,,,565.0,5.0,26.0,4.1415929203539825,0.023893805309734513,0.020707964601769914,0.04460176991150443,1.471858407079646,1.0,14.336283185840708,0.1592920353982301,0.0,4.0,56.0,12.0,1.0,0.0833333333333333,6.849557522123894,0.3185840707964602,True
105717,Masuaku,SUN,DEF,4.0,0.7,u,Has joined Konyaspor permanently,0.0,,,,125.0,2.0,1.0,0.72,0.05040000000000001,0.057600000000000005,0.10800000000000003,1.5048,0.0,2.88,0.72,0.0,3.9,56.0,3.0,0.0,0.0,9.36,0.0,True
93605,Meunier,SUN,DEF,4.5,0.3,d,Knock - 75% chance of playing,75.0,,,,,,,,,,,,,,,,,,,,,,,False
484420,E.Le Fée,SUN,MID,6.0,11.7,a,,,2.0,1.0,2.0,2930.0,33.0,147.0,4.5153583617747435,0.16034129692832763,0.1827645051194539,0.34310580204778157,1.4283276450511944,16.0,19.07508532423208,0.15358361774744025,0.0,4.8,56.0,36.0,8.0,0.2222222222222222,9.79863481228669,0.4914675767918088,True
547027,Diarra,SUN,MID,5.5,0.1,a,,,1.0,,,1403.0,15.0,65.0,4.169636493228795,0.2097647897362794,0.05452601568068425,0.26429080541696365,1.3804704205274412,3.0,13.406985032074127,0.38488952245188884,0.0,5.3,56.0,20.0,0.0,0.0,5.067712045616536,0.0,True
84450,Xhaka,SUN,MID,5.5,4.7,a,,,,2.0,1.0,2901.0,32.0,124.0,3.8469493278179936,0.03133402275077559,0.11571871768355739,0.147052740434333,1.4171664943123061,8.0,18.707342295760082,0.2481902792140641,0.0,5.1,56.0,34.0,13.0,0.3823529411764705,11.2306101344364,0.8066184074457083,True
577669,Sadiki,SUN,MID,5.0,0.4,a,,,,,,2891.0,33.0,80.0,2.4904877205119336,0.044517468004150816,0.04545140089934279,0.08996886890349359,1.2885160843998618,0.0,12.76374956762366,0.2801798685575925,0.0,4.9,56.0,33.0,4.0,0.1212121212121212,7.720511933586994,0.2490487720511933,True
535818,Adingra,SUN,MID,5.0,0.3,a,,,,,,649.0,9.0,34.0,4.714946070878274,0.0485362095531587,0.0859784283513097,0.1345146379044684,1.5670261941448382,3.0,11.232665639445301,0.2773497688751926,0.0,4.9,56.0,14.0,0.0,0.0,6.240369799691833,0.0,True
461199,Mundle,SUN,MID,5.0,0.0,a,,,,,,399.0,2.0,14.0,3.1578947368421053,0.19624060150375938,0.10827067669172931,0.30451127819548873,1.926315789473684,0.0,9.473684210526315,0.22556390977443608,0.0,4.9,56.0,14.0,0.0,0.0,7.443609022556391,0.0,True
554197,Rigg,SUN,MID,5.0,0.1,a,,,,,,758.0,11.0,36.0,4.274406332453825,0.10211081794195251,0.1104221635883905,0.212532981530343,1.4794195250659632,1.0,16.147757255936675,0.11873350923482849,0.0,4.7,56.0,18.0,0.0,0.0,6.767810026385224,0.0,True
549912,Talbi,SUN,MID,5.5,0.2,a,,,,,,1553.0,16.0,83.0,4.810045074050225,0.12343850611719252,0.06838377334191886,0.19182227945911137,1.2900193174500967,6.0,14.372182871860913,0.0,0.0,4.9,56.0,28.0,0.0,0.0,5.331616226658081,0.0,True
699989,Jocelin.T,SUN,MID,5.0,0.0,a,,,,,,38.0,1.0,1.0,2.0,0.0,0.08,0.08,0.48,0.0,8.0,0.0,0.0,4.9,56.0,1.0,0.0,0.0,7.105263157894737,0.0,True
536661,Angulo,SUN,MID,5.0,0.1,a,,,,,,401.0,5.0,13.0,2.9177057356608476,0.17281795511221945,0.026932668329177057,0.1997506234413965,1.6294264339152118,0.0,9.650872817955111,0.22443890274314213,0.0,5.0,56.0,8.0,0.0,0.0,7.855361596009975,0.0,True
441264,Brobbey,SUN,FWD,6.0,15.2,a,,,,,,1920.0,22.0,92.0,4.3125,0.2821875,0.031406250000000004,0.31359375,1.471875,12.0,14.484375,0.28125,0.0,5.3,56.0,31.0,0.0,0.0,3.46875,0.0,True
437505,Isidor,SUN,FWD,5.5,1.1,a,,,,,,1148.0,11.0,74.0,5.801393728222996,0.3684668989547038,0.02979094076655052,0.39825783972125434,1.5538327526132403,7.0,20.853658536585364,0.078397212543554,0.0,5.0,56.0,32.0,0.0,0.0,3.998257839721254,0.0,True
